"","player","shotCount","totalGoalsScored","xG","avgShotDist","openPlay","setPiece","penalty","fromCorner","directFK","rightFoot","leftFoot","head"
"1","Robert Lewandowski",4.69565217391304,25,1.02864268519308,12.9078911042407,3.69565217391304,0.0869565217391304,0.130434782608696,0.695652173913043,0.0869565217391304,2.52173913043478,0.826086956521739,1.26086956521739
"2","Timo Werner",4.1304347826087,21,0.804109619565956,15.6950222697946,3.73913043478261,0,0.130434782608696,0.260869565217391,0,3.26086956521739,0.565217391304348,0.304347826086957
"3","Jadon Sancho",2.25,14,0.411048957472667,17.582569906916,1.95,0.05,0,0.2,0.05,2,0.25,0
"4","Robin Quaison",2.95,12,0.466494079120457,17.8950031798769,2.5,0.2,0.05,0.15,0.05,2.1,0.25,0.55
"5","Florian Niederlechner",2.70833333333333,11,0.477588800014928,14.6811353479064,2.04166666666667,0.25,0.0416666666666667,0.333333333333333,0.0416666666666667,1.70833333333333,0.583333333333333,0.416666666666667
"6","Marco Reus",2.9375,11,0.569040384609252,15.5851362517485,2.3125,0.0625,0.0625,0.3125,0.1875,1.8125,0.8125,0.3125
"7","Rouwen Hennings",2.61904761904762,11,0.414153206428247,17.8550983297145,1.9047619047619,0.238095238095238,0.142857142857143,0.238095238095238,0.0952380952380952,0.666666666666667,1.71428571428571,0.238095238095238
"8","Sebastian Andersson",2.6,11,0.561247249599546,11.5946360471332,1.7,0.25,0.1,0.55,0,1.3,0.25,1.05
"9","Serge Gnabry",3.75,11,0.580909679085016,16.5839541738707,3.5,0.05,0,0.2,0,2.35,1.15,0.25
"10","Wout Weghorst",2.75,11,0.537484762588671,12.9119594258441,1.83333333333333,0.291666666666667,0.125,0.458333333333333,0.0416666666666667,1.33333333333333,0.375,1.04166666666667
"11","Jhon Córdoba",2.76470588235294,10,0.36053916647592,15.3031412636439,2.35294117647059,0.294117647058824,0,0.117647058823529,0,1.47058823529412,0.529411764705882,0.764705882352941
"12","Erling Haaland",2.375,9,0.70397639228031,13.3672292857167,2,0,0,0.375,0,0.375,1.875,0.125
"13","Kevin Volland",3.23809523809524,9,0.524061494551244,15.2048407806381,2.76190476190476,0.142857142857143,0,0.285714285714286,0.0476190476190476,0.857142857142857,1.71428571428571,0.666666666666667
"14","Alassane Pléa",2.95238095238095,8,0.525886549570021,16.8661286940713,2.28571428571429,0.285714285714286,0.0476190476190476,0.142857142857143,0.19047619047619,2.23809523809524,0.523809523809524,0.19047619047619
"15","Marcel Sabitzer",2.36,8,0.232622689418495,21.0956447039043,1.96,0.04,0,0.08,0.28,1.72,0.48,0.16
"16","Nils Petersen",2.3,8,0.36857953784056,12.0989963993292,1.8,0.15,0.05,0.3,0,0.8,0.6,0.85
"17","Philippe Coutinho",3.41176470588235,8,0.53346785694799,19.2980475866578,3,0.0588235294117647,0.0588235294117647,0.176470588235294,0.117647058823529,2.76470588235294,0.529411764705882,0.117647058823529
"18","Andrej Kramaric",2.83333333333333,7,0.596433992730454,14.4617323988929,1.66666666666667,0.416666666666667,0.0833333333333333,0.5,0.166666666666667,1.66666666666667,0.583333333333333,0.583333333333333
"19","Breel Embolo",2,7,0.459913576371037,13.0054778714036,1.625,0.0625,0.0625,0.25,0,1.0625,0.5,0.375
"20","Gonçalo Paciência",3.1875,7,0.462479817622807,13.6923723782654,2.0625,0.25,0.0625,0.75,0.0625,1,0.8125,1.3125
"21","Marius Bülter",1.94117647058824,7,0.185694331686725,18.8674849824396,1.52941176470588,0.176470588235294,0,0.235294117647059,0,1.29411764705882,0.647058823529412,0
"22","Milot Rashica",3.10526315789474,7,0.259959693213827,23.709984087611,2.52631578947368,0.210526315789474,0.105263157894737,0.105263157894737,0.157894736842105,2.36842105263158,0.578947368421053,0.157894736842105
"23","Patrik Schick",2.75,7,0.457392171490937,10.8397585188635,1.41666666666667,0.416666666666667,0,0.916666666666667,0,0.25,1,1.41666666666667
"24","Philipp Max",1.5,7,0.15389926216772,24.8236210104182,0.722222222222222,0,0.0555555555555556,0.166666666666667,0.555555555555556,0,1.5,0
"25","Suat Serdar",2.2,7,0.204989662207663,20.4860370788017,1.86666666666667,0.133333333333333,0,0.2,0,1.66666666666667,0.266666666666667,0.266666666666667
"26","Amine Harit",1.8125,6,0.192026313627139,19.9350354066866,1.375,0.25,0.0625,0.125,0,1.625,0.125,0.0625
"27","Kai Havertz",2.11764705882353,6,0.306121160796679,16.7029903539006,1.94117647058824,0,0,0.176470588235294,0,0.352941176470588,1.47058823529412,0.294117647058824
"28","Lars Stindl",2.16666666666667,6,0.763719379281004,13.6031591391543,1.66666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,1.33333333333333,0.5,0.333333333333333
"29","Lucas Alario",2.46666666666667,6,0.41350947568814,14.4968285959434,1.46666666666667,0.133333333333333,0.0666666666666667,0.8,0,1.4,0.133333333333333,0.933333333333333
"30","Marcus Thuram",2.42105263157895,6,0.444154767613662,14.5183894989976,2.21052631578947,0.105263157894737,0,0.105263157894737,0,1.31578947368421,0.578947368421053,0.526315789473684
"31","Martin Hinteregger",2.69230769230769,6,0.324518423061818,16.4455238976758,1.07692307692308,0.153846153846154,0,1.38461538461538,0.0769230769230769,0.230769230769231,1.38461538461538,1.07692307692308
"32","Thomas Müller",1.9,6,0.337413011584431,13.1273436286776,1.6,0.05,0,0.25,0,1.2,0.5,0.2
"33","Bas Dost",1.9,5,0.453477748855949,9.58098400659949,1.6,0,0,0.3,0,0.7,0.2,1
"34","Dodi Lukebakio",1.9375,5,0.289119853056036,18.4122272320099,1.5625,0.1875,0,0.0625,0.125,0.25,1.4375,0.25
"35","Emil Forsberg",1.81818181818182,5,0.262734056704424,18.3389282891018,1.27272727272727,0,0.181818181818182,0.181818181818182,0.181818181818182,1.36363636363636,0.363636363636364,0.0909090909090909
"36","Erik Thommy",2.11764705882353,5,0.180766406140345,23.0523037711411,1.82352941176471,0.117647058823529,0,0.0588235294117647,0.117647058823529,1.70588235294118,0.352941176470588,0.0588235294117647
"37","Gian-Luca Waldschmidt",2.30769230769231,5,0.310158741588776,17.8814477330005,1.61538461538462,0.0769230769230769,0.230769230769231,0.307692307692308,0.0769230769230769,0.615384615384615,1.38461538461538,0.307692307692308
"38","Leon Bailey",2.09090909090909,5,0.343944448046386,16.5594077703544,1.72727272727273,0,0,0.272727272727273,0.0909090909090909,0.454545454545455,1.36363636363636,0.272727272727273
"39","Paco Alcácer",2,5,0.526993509032764,11.8290633771307,1.75,0.125,0,0.125,0,1.125,0.5,0.375
"40","Patrick Herrmann",2.15384615384615,5,0.39492274978413,14.128167295954,1.92307692307692,0.153846153846154,0,0,0.0769230769230769,1.46153846153846,0.307692307692308,0.384615384615385
"41","Raphael Guerreiro",1.92857142857143,5,0.229918142248477,21.7608241461531,1.42857142857143,0,0,0.214285714285714,0.285714285714286,0.285714285714286,1.64285714285714,0
"42","Sargis Adamyan",1.61538461538462,5,0.442892683956485,11.9133363777895,1.38461538461538,0,0,0.230769230769231,0,0.846153846153846,0.384615384615385,0.384615384615385
"43","Sebastiaan Bornauw",1.5,5,0.310880243312567,8.33607827557458,0,0.5,0,1,0,0.4,0,1.1
"44","Streli Mamba",1.5,5,0.290462723201407,17.7744795812493,1.5,0,0,0,0,1.14285714285714,0.357142857142857,0
"45","Thorgan Hazard",2,5,0.21667663866861,18.5580595265994,1.94444444444444,0,0,0.0555555555555556,0,1.61111111111111,0.333333333333333,0.0555555555555556
"46","André Silva",3.11111111111111,4,0.606327471219831,11.9451212434852,2.77777777777778,0,0,0.333333333333333,0,1.33333333333333,0.444444444444444,1.33333333333333
"47","Axel Witsel",1.8,4,0.16108327601105,18.9326041080048,1.13333333333333,0.333333333333333,0,0.333333333333333,0,1.4,0.266666666666667,0.133333333333333
"48","Benito Raman",2.21428571428571,4,0.291395839170686,17.9326089021609,2.07142857142857,0.0714285714285714,0,0.0714285714285714,0,1.35714285714286,0.785714285714286,0.0714285714285714
"49","Christoph Baumgartner",2.64285714285714,4,0.381230035131531,14.7953990057463,2.21428571428571,0.0714285714285714,0,0.357142857142857,0,1.78571428571429,0.142857142857143,0.714285714285714
"50","Christopher Nkunku",2.05263157894737,4,0.305867118123723,17.3356782383921,1.84210526315789,0,0,0.105263157894737,0.105263157894737,1.68421052631579,0.210526315789474,0.157894736842105
"51","Davy Klaassen",1.875,4,0.361671121965628,17.3518293810957,1.4375,0,0.1875,0.25,0,1.5625,0.25,0.0625
"52","Dennis Srbeny",2.125,4,0.231419977266341,14.4447277672339,2,0.125,0,0,0,0.875,0.75,0.5
"53","Filip Kostic",3.15,4,0.217326046153903,23.82665360317,2.55,0.15,0,0.15,0.3,0.25,2.85,0.05
"54","Ivan Perisic",2.83333333333333,4,0.307555745433395,14.2487754620572,2.33333333333333,0,0,0.5,0,1,1,0.833333333333333
"55","Jonas Hector",1.86666666666667,4,0.118842922709882,17.6931822527523,1.06666666666667,0.0666666666666667,0,0.6,0.133333333333333,0.266666666666667,1.2,0.4
"56","Jonathan Schmid",1.88888888888889,4,0.139777157921344,23.4341329994151,1.11111111111111,0.0555555555555556,0,0.166666666666667,0.555555555555556,1.61111111111111,0.277777777777778,0
"57","Jürgen Locadia",2,4,0.332743343524635,14.9267629175148,1.4,0.1,0.1,0.4,0,1.3,0.2,0.5
"58","Karim Bellarabi",3.46666666666667,4,0.44252645286421,18.0957655670546,2.93333333333333,0.0666666666666667,0,0.466666666666667,0,2.93333333333333,0.533333333333333,0
"59","Karim Onisiwo",2.06666666666667,4,0.260187109621863,15.2809903396962,1.66666666666667,0.0666666666666667,0,0.333333333333333,0,1.13333333333333,0.333333333333333,0.6
"60","Kenan Karaman",1.875,4,0.300548801664263,17.3061819187475,1.75,0.125,0,0,0,1,0.75,0.125
"61","Levin Öztunali",1.875,4,0.135794533009175,23.0274315584171,1.375,0.25,0,0.25,0,0.6875,1.125,0.0625
"62","Lucas Höler",2.33333333333333,4,0.354774410277605,15.0147376464351,1.66666666666667,0.2,0.0666666666666667,0.4,0,1.33333333333333,0.533333333333333,0.466666666666667
"63","Marco Richter",2.83333333333333,4,0.228539038708226,23.6537585367577,2.33333333333333,0.111111111111111,0,0.166666666666667,0.222222222222222,1.61111111111111,1.16666666666667,0.0555555555555556
"64","Marcus Ingvartsen",2.29411764705882,4,0.206097670995137,17.7807939666565,2.05882352941176,0.0588235294117647,0.0588235294117647,0.117647058823529,0,0.294117647058824,1.47058823529412,0.470588235294118
"65","Mark Uth",2.76923076923077,4,0.325957625316313,15.5414029287216,1.92307692307692,0.0769230769230769,0,0.461538461538462,0.307692307692308,0.461538461538462,1.53846153846154,0.769230769230769
"66","Moussa Diaby",2,4,0.272806450325464,18.5657698562227,1.92857142857143,0,0,0.0714285714285714,0,0.285714285714286,1.71428571428571,0
"67","Ramy Bensebaini",2.16666666666667,4,0.454185135662556,12.9944499108349,1.16666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,1.16666666666667,0.833333333333333
"68","Renato Steffen",2.11111111111111,4,0.335935192700062,17.4669912414107,1.77777777777778,0.111111111111111,0,0.222222222222222,0,0.333333333333333,1.44444444444444,0.333333333333333
"69","Ruben Vargas",2.1,4,0.275564874801785,17.3889500847311,1.9,0,0,0.2,0,1.5,0.25,0.35
"70","Timothy Chandler",2.14285714285714,4,0.158039380397115,16.436552098009,1.71428571428571,0.142857142857143,0,0.285714285714286,0,0.714285714285714,0.285714285714286,1.14285714285714
"71","Yuya Osako",2.41666666666667,4,0.2770414063707,16.221527690176,1.75,0.416666666666667,0,0.25,0,1.33333333333333,0.583333333333333,0.5
"72","Abdelhamid Sabiri",2.53846153846154,3,0.187616704103465,21.3971582287452,1.30769230769231,0.230769230769231,0.0769230769230769,0.307692307692308,0.615384615384615,1.76923076923077,0.230769230769231,0.538461538461538
"73","Achraf Hakimi",1.52941176470588,3,0.21114428182516,15.9174535090498,1.41176470588235,0,0,0.0588235294117647,0.0588235294117647,1.29411764705882,0.176470588235294,0.0588235294117647
"74","Ahmed Kutucu",1.83333333333333,3,0.1865022109511,20.0521280865396,1.66666666666667,0,0,0.166666666666667,0,1.16666666666667,0.5,0.166666666666667
"75","Alfred Finnbogason",1.5,3,0.492192449669043,13.0562824076277,0.833333333333333,0.166666666666667,0.0833333333333333,0.416666666666667,0,0.916666666666667,0.25,0.333333333333333
"76","Ben Zolinski",1.55555555555556,3,0.280100929033425,14.9836348859882,1.11111111111111,0.111111111111111,0,0.333333333333333,0,0.888888888888889,0.444444444444444,0.222222222222222
"77","Benjamin Pavard",1.1,3,0.0562313325703144,16.1111226205424,0.5,0.2,0,0.4,0,0.6,0.2,0.3
"78","Dedryck Boyata",1.66666666666667,3,0.183797976209058,8.78507853375706,0,0.111111111111111,0,1.55555555555556,0,0.222222222222222,0,1.44444444444444
"79","Florian Neuhaus",2,3,0.232483465806581,19.770887848176,1.4375,0.125,0,0.375,0.0625,1.1875,0.75,0.0625
"80","Ihlas Bebou",1.84615384615385,3,0.181351206551951,17.4587253948398,1.76923076923077,0.0769230769230769,0,0,0,1.38461538461538,0.153846153846154,0.307692307692308
"81","Javairo Dilrosun",1.7,3,0.157525881752372,20.2879903544556,1.4,0,0,0.1,0.2,0.1,1.6,0
"82","Jean-Paul Boëtius",2,3,0.220040265757304,19.0646468746401,1.46153846153846,0.0769230769230769,0,0.461538461538462,0,1.46153846153846,0.384615384615385,0.153846153846154
"83","Joshua Sargent",2.11111111111111,3,0.249983151132862,15.3208623955748,1.88888888888889,0,0,0.222222222222222,0,1.11111111111111,0.555555555555556,0.444444444444444
"84","Joshua Zirkzee",2.25,3,0.600723436102271,10.9767913765173,1.75,0.25,0,0.25,0,2,0.25,0
"85","Josip Brekalo",1.5625,3,0.133853477193043,20.7440599519188,1.4375,0,0,0.0625,0.0625,1.25,0.25,0.0625
"86","Julian Brandt",1.78571428571429,3,0.228870519037758,17.5837981080332,1.42857142857143,0.0714285714285714,0,0.285714285714286,0,0.928571428571429,0.642857142857143,0.214285714285714
"87","Leon Goretzka",2.7,3,0.45081711281091,15.8282735678643,2,0.1,0,0.6,0,1.7,0.2,0.8
"88","Marcel Halstenberg",1.64285714285714,3,0.133670253413064,19.8607711061446,0.857142857142857,0.0714285714285714,0,0.357142857142857,0.357142857142857,0.142857142857143,1.28571428571429,0.214285714285714
"89","Mario Götze",1.6,3,0.434324640780687,12.5411143108112,1,0,0.2,0.4,0,1.4,0,0.2
"90","Marko Grujic",2.07692307692308,3,0.278899428004829,16.7498003273365,1.46153846153846,0.230769230769231,0,0.384615384615385,0,1.23076923076923,0.230769230769231,0.615384615384615
"91","Maximilian Arnold",2.31578947368421,3,0.0929827474449811,25.3244762421076,1.84210526315789,0.157894736842105,0,0.105263157894737,0.210526315789474,0.315789473684211,2,0
"92","Nordi Mukiele",1.38461538461538,3,0.135480908318781,17.7759905403191,1,0.0769230769230769,0,0.307692307692308,0,0.923076923076923,0.153846153846154,0.307692307692308
"93","Ozan Kabak",1.28571428571429,3,0.236055101933224,9.08374785639997,0.142857142857143,0.285714285714286,0,0.857142857142857,0,0.142857142857143,0.285714285714286,0.714285714285714
"94","Paulinho",2.66666666666667,3,0.598192883034547,18.978265588259,2.66666666666667,0,0,0,0,2.66666666666667,0,0
"95","Robert Skov",1.80952380952381,3,0.093723621884627,24.8238460551038,0.952380952380952,0.0952380952380952,0,0.0952380952380952,0.666666666666667,0.142857142857143,1.66666666666667,0
"96","Simon Terodde",2.69230769230769,3,0.468526871731648,10.1149589271642,1.92307692307692,0.384615384615385,0,0.384615384615385,0,1.07692307692308,0.615384615384615,0.923076923076923
"97","Sven Michel",2.07142857142857,3,0.288043777957292,17.6698966335842,1.57142857142857,0.142857142857143,0,0.357142857142857,0,0.142857142857143,1.5,0.428571428571429
"98","Thiago Alcántara",1.63636363636364,3,0.234804099510339,17.7660059534204,1.27272727272727,0,0,0.363636363636364,0,1.36363636363636,0.272727272727273,0
"99","Vedad Ibisevic",1.4,3,0.261517549492419,12.2091721876411,1.3,0.1,0,0,0,1,0.2,0.2
"100","Vladimir Darida",2.21428571428571,3,0.181810298868056,19.5090194795138,1.92857142857143,0.142857142857143,0,0.142857142857143,0,1.35714285714286,0.785714285714286,0.0714285714285714
"101","Yussuf Poulsen",1.84615384615385,3,0.375136411462266,12.8534558801068,1.46153846153846,0,0,0.384615384615385,0,1.07692307692308,0.230769230769231,0.538461538461538
"102","Admir Mehmedi",1.88888888888889,2,0.131042931228876,21.8999486489969,1.44444444444444,0.222222222222222,0,0.222222222222222,0,1.22222222222222,0.333333333333333,0.333333333333333
"103","Anthony Ujah",1.55555555555556,2,0.162629822165602,18.2800635313621,1.55555555555556,0,0,0,0,1,0.333333333333333,0.222222222222222
"104","Cauly Oliveira Souza",1.55555555555556,2,0.156130350298352,19.6551848925113,1.44444444444444,0,0,0,0.111111111111111,1.11111111111111,0.333333333333333,0.111111111111111
